Title;Author;Publisher;ReadSituation;Owner
Muhteþem Gatsby;F. Scott Fitzgerald;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
Benjamin Button'ýn Tuhaf Hikayesi;F. Scott Fitzgerald;Ýthaki;Read;Ege Balçýk
Algoritma Geliþtirme;Fahri Vatansever;Seçkin;To-Read;Ege Balçýk
Unutulmaz Köy Enstitüleri;Fakir Baykurt;Literatür;Read;Ege Balçýk
Týrpan;Fakir Baykurt;Literatür;Read;Ege Balçýk
Antikomünizm, Ülkücü Hareket, Türkeþ;Fatih Yaþlý;Yordam;To-Read;Ege Balçýk
Tarihin Cinsiyeti;Fatmagül Berktay;Metis Yayýnlarý;To-Read;Ege Balçýk
Tek Tanrýlý Dinler Karþýsýnda Kadýn;Fatmagül Berktay;Metis Yayýnlarý;To-Read;Ege Balçýk
Bir Vegan Ýle Evlendim;Fausto Brizzi;Pan;Read;Ege Balçýk
Huzursuzluðun Kitabý;Fernando Pessoa;Can Yayýnlarý;To-Read;Ege Balçýk
A'mak-ý Hayal;Filibeli Ahmed Hilmi;Kaknüs;To-Read;Ege Balçýk
Göçmek Ne Garip Þey Anne!;Filiz Yavuz;Mundi;To-Read;Ege Balçýk
Þahname 1;Firdevsi;Kabalcý;To-Read;Ege Balçýk
Þahname 2;Firdevsi;Kabalcý;To-Read;Ege Balçýk
Ýçimizdeki Maymun;Frans De Waal;Metis Yayýnlarý;Read;Ege Balçýk
Mama'nýn Son Sarýlýþý;Frans De Waal;Sander Yayýnlarý;To-Read;Ege Balçýk
Ailenin, Özel Mülkiyetin ve Devletin Kökeni;Friedrich Engels;Yordam;To-Read;Ege Balçýk
Türk Þaman Metinleri;Fuzuli Bayat;Ötüken Neþriyat;To-Read;Ege Balçýk
Kadýn Þaman;Fuzuli Bayat;Ötüken Neþriyat;To-Read;Ege Balçýk
Rüzgar Bizi Götürecek;Füruð Ferruhzad;YKY;To-Read;Ege Balçýk
Kýrk Yedililer;Füruzan;YKY;To-Read;Ege Balçýk
Yüzyýllýk Yalnýzlýk;Gabriel Garcia Marquez;Can Yayýnlarý;Read;Ege Balçýk
Baþkan Babamýzýn Sonbaharý;Gabriel Garcia Marquez;Can Yayýnlarý;Read;Ege Balçýk
Kýrmýzý Pazartesi;Gabriel Garcia Marquez;Can Yayýnlarý;Read;Ege Balçýk
Rus Devrimi'nin Kýsa Tarihi;Geoffrey Swann;Ýletiþim;To-Read;Ege Balçýk
Hayvan Çiftliði;George Orwell;Can Yayýnlarý;To-Read;Ege Balçýk
Ýçsavaþdiyarý Feci Düþüþte;George Saunders;Deli Dolu;To-Read;Ege Balçýk
Oblomov;Gonçarov;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Yýlanlar, Gündoðumlarý ve Shakespeare;Gordon H. Orians;Metis Yayýnlarý;To-Read;Ege Balçýk
Shantaram;Gregory David Roberts;Artemis Yayýnlarý;To-Read;Ege Balçýk
Beyaz Zambaklar Ülkesi;Grigoriy Petrov;Ayrýntý;Read;Ege Balçýk
Golem;Gustav Meyrink;Ýthaki;To-Read;Ege Balçýk
Üç Öykü;Gustave Flaubert;Can Yayýnlarý;Read;Ege Balçýk
Doðu Seyahati;Gustave Flaubert;Ýletiþim;Read;Ege Balçýk
Madame Bovary;Gustave Flaubert;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Madam Tellier'nin Evi;Guy De Maupassant;Bordo Siyah;Read;Ege Balçýk
Öyküler;Guy De Maupassant;Epsilon;Read;Ege Balçýk
Prekarya;Guy Standing;Ýletiþim;To-Read;Ege Balçýk
Temel Gelir;Guy Standing;Tellekt;To-Read;Ege Balçýk
Beden Emek Tarih;Gülnur Acar Savran;Dipnot;To-Read;Ege Balçýk
Kadýnýn Görünmeyen Emeði;Gülnur Acar Savran;Yordam;To-Read;Ege Balçýk
Cehenneme Övgü;Gündüz Vassaf;Ýletiþim;Read;Ege Balçýk
Zaman Makinesi;H. G. Wells;Kýrmýzýkedi;Read;Ege Balçýk
Deliliðin Daðlarýnda;H. P. Lovecaft;Ýthaki;Read;Ege Balçýk
Cthulhu’nun Çaðrýsý;H. P. Lovecaft;Ýthaki;To-Read;Ege Balçýk
Karanlýkta Fýsýldayan;H. P. Lovecaft;Ýthaki;To-Read;Ege Balçýk
Aþk-ý Memnu;Halid Ziya Uþaklýgil;Özgür;To-Read;Ege Balçýk
Vurun Kahpeye;Halide Edip Adývar;Can Yayýnlarý;Read;Ege Balçýk
Ermiþ;Halil Cibran;Ýþ bankasý Kültür Yayýnlarý;Read;Ege Balçýk
Meczup;Halil Cibran;Öteki;Read;Ege Balçýk
Devlet-i Aliyye 1;Halil Ýnalcýk;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
Devlet-i Aliyye 4;Halil Ýnalcýk;Ýþ bankasý Kültür Yayýnlarý;To-Read;Ege Balçýk
